timestamp_str,SFN,SFN_p,Slot,Slot_p,CC,CC_p,HARQ,HARQ_p,MCS,MCS_p,CRC,CRC_p,ReTx,ReTx_p,NDI,NDI_p,threshold,anomaly_score,distance_from_threshold
155.csv;03:50:41.383-2024/10/29;69;5,69,354,5,5,0,0,15,11,0,20,0,1,6,4,0,0,0.015417639557754822,0.5031841,0.48776644056614654
155.csv;03:50:44.743-2024/10/29;405;5,405,450,5,5,0,0,15,11,0,19,0,1,6,4,0,0,0.015417639557754822,0.4904152,0.4749975461321713
158.csv;08:03:05.055-2024/12/06;1003;16,1003,680,16,8,0,0,15,10,28,28,1,1,6,4,0,0,0.015417639557754822,0.4265062,0.41108855193432586
160.csv;07:44:47.241-2024/12/05;282;10,282,439,10,7,0,0,0,7,28,28,1,1,6,4,0,0,0.015417639557754822,0.383621,0.36820336764630096
155.csv;03:42:11.764-2024/10/29;307;5,307,400,5,6,0,0,14,12,28,26,1,1,6,4,1,1,0.015417639557754822,0.38199946,0.36658182328518646
160.csv;07:36:50.038-2024/12/05;690;5,690,602,5,6,0,0,2,7,29,28,1,1,6,4,0,0,0.015417639557754822,0.36031115,0.34489351099308746
155.csv;03:50:37.083-2024/10/29;663;5,663,572,5,6,0,0,15,11,29,29,1,1,6,4,0,0,0.015417639557754822,0.36006194,0.34464430397328155
160.csv;07:36:48.923-2024/12/05;578;11,578,551,11,8,0,0,7,9,28,27,1,1,6,4,0,0,0.015417639557754822,0.33637527,0.32095762675579803
155.csv;03:50:41.379-2024/10/29;68;15,68,343,15,9,0,0,15,12,0,20,0,0,5,3,0,0,0.015417639557754822,0.29011,0.2746923524695279
155.csv;03:50:37.079-2024/10/29;662;15,662,548,15,10,0,0,15,12,0,19,0,0,5,4,0,0,0.015417639557754822,0.25750813,0.24209048932369964
155.csv;03:50:44.735-2024/10/29;404;5,404,448,5,5,0,0,15,12,0,21,0,0,5,4,0,0,0.015417639557754822,0.25357828,0.2381606358843686
160.csv;08:36:46.089-2024/12/05;871;8,871,712,8,6,1,0,3,6,30,29,1,1,5,4,0,0,0.015417639557754822,0.1441257,0.12870806043919342
160.csv;08:18:41.120-2024/12/05;918;8,918,742,8,7,1,0,14,11,31,28,1,1,5,4,0,0,0.015417639557754822,0.14385042,0.12843277638729828
160.csv;08:22:17.790-2024/12/05;57;15,57,336,15,9,0,0,1,5,28,28,1,1,5,4,0,0,0.015417639557754822,0.1423674,0.12694975322064178
160.csv;08:36:41.273-2024/12/05;389;9,389,459,9,6,1,0,0,5,28,29,1,1,5,4,1,1,0.015417639557754822,0.13996017,0.12454253023442047
160.csv;07:12:40.464-2024/12/05;116;15,116,338,15,9,0,0,15,11,28,28,1,1,5,4,1,1,0.015417639557754822,0.138455,0.12303736394222992
160.csv;06:58:30.364-2024/12/05;98;11,98,295,11,7,0,0,15,12,28,29,1,1,5,4,0,0,0.015417639557754822,0.1376781,0.12226046210106628
160.csv;09:10:03.998-2024/12/05;982;18,982,746,18,10,0,0,13,11,30,27,1,1,5,4,0,0,0.015417639557754822,0.1321081,0.1166904676514508
160.csv;07:29:40.735-2024/12/05;767;16,767,673,16,9,0,0,13,11,28,27,1,1,5,4,1,1,0.015417639557754822,0.12995014,0.11453249638851898
160.csv;08:54:02.947-2024/12/05;109;15,109,283,15,10,0,0,11,10,29,27,1,1,5,4,1,1,0.015417639557754822,0.1282803,0.11286265736397522
155.csv;03:42:11.760-2024/10/29;306;15,306,405,15,10,0,0,14,11,28,27,1,1,5,4,1,1,0.015417639557754822,0.1278325,0.1124148625689389
160.csv;07:44:47.237-2024/12/05;282;0,282,402,0,4,0,0,0,5,28,29,1,1,5,4,0,0,0.015417639557754822,0.1243107,0.10889306252774017
160.csv;09:11:38.648-2024/12/05;207;8,207,363,8,7,1,0,13,11,31,29,1,1,5,4,1,1,0.015417639557754822,0.12266002,0.1072423789459111
